actual,predicted
1,0.4334508
0,0.77799785
0,0.17087406
1,0.12277521
0,0.3704007
0,0.14445761
1,0.15101276
0,0.099277616
0,0.10976825
0,0.24424036
0,0.8465497
0,0.04493242
0,0.097653404
0,0.2562602
0,0.14224991
0,0.23115438
1,0.9928586
1,0.88796467
1,0.07168916
1,0.7750219
0,0.035510134
0,0.12281225
0,0.82453394
1,0.27561146
0,0.07555507
0,0.8317184
1,0.0875853
0,0.07385284
1,0.91919136
0,0.04850749
0,0.14603296
0,0.870034
0,0.036925968
0,0.50247556
0,0.09178779
0,0.09096281
1,0.75192547
0,0.64135206
1,0.3444274
0,0.9369561
1,0.11859083
0,0.10528504
1,0.1352947
0,0.6073956
1,0.06742621
0,0.118072875
0,0.32100797
0,0.91244006
0,0.13039991
1,0.072145395
0,0.07642178
1,0.057928782
0,0.22614643
0,0.3011552
0,0.17489114
0,0.29666835
1,0.4894437
0,0.3182421
1,0.95342594
1,0.9848536
0,0.104812525
0,0.9723905
1,0.820042
0,0.8085549
0,0.2919118
0,0.12543577
0,0.06792546
0,0.1035229
0,0.98789394
0,0.21751471
0,0.69410807
0,0.14464705
0,0.21820317
0,0.3792733
1,0.05024933
0,0.08118749
0,0.17691159
0,0.10916785
0,0.020019071
0,0.6920409
0,0.059062287
1,0.54410064
1,0.044571944
0,0.11778503
1,0.6009995
1,0.6189499
1,0.07973869
0,0.13954826
0,0.24241059
1,0.056393236
1,0.17690381
0,0.5679855
1,0.06993902
0,0.13869724
1,0.52771455
0,0.7713833
0,0.44186082
1,0.44670433
1,0.21833001
0,0.8812675
1,0.96417385
1,0.15436749
0,0.075764164
0,0.4489338
1,0.4399048
1,0.28008366
0,0.880983
1,0.6796979
1,0.06071676
0,0.0788756
0,0.14674826
1,0.6882457
0,0.06959029
1,0.0642737
1,0.08829597
0,0.39643332
0,0.317395
0,0.11914556
0,0.17443389
0,0.11044019
1,0.81197816
1,0.9747052
1,0.633544
1,0.38301045
0,0.18503642
1,0.14320156
1,0.7478552
0,0.2684602
1,0.9796435
1,0.5065654
1,0.9544294
0,0.01655234
1,0.9351803
0,0.91824585
1,0.88567805
0,0.7260804
0,0.066699736
0,0.16063839
0,0.43368015
0,0.11965475
0,0.052506395
0,0.93212205
1,0.8896864
0,0.18979548
0,0.91893756
1,0.2499721
1,0.71059304
0,0.14059865
1,0.06575662
0,0.22504103
0,0.45804864
1,0.97727025
0,0.067349166
1,0.9321321
1,0.057162378
1,0.24669474
1,0.92914647
0,0.07513624
1,0.549123
0,0.8875732
1,0.5932552
0,0.07493267
0,0.93336654
0,0.13145854
0,0.06788535
0,0.68854153
1,0.3846304
0,0.053668186
0,0.23618715
0,0.08022257
0,0.08313852
1,0.9101903
1,0.5490206
0,0.5314388
1,0.14655739
1,0.9638054
0,0.83191466
1,0.13133146
0,0.95389205
0,0.06942336
1,0.05886338
1,0.28271398
0,0.64880925
1,0.041734483
1,0.2484989
0,0.8661168
1,0.042506393
0,0.07829664
1,0.7755619
0,0.039217122
1,0.09181032
0,0.07704207
0,0.9800019
0,0.8815891
1,0.9467819
1,0.83293986
0,0.23924588
0,0.20379002
0,0.4190333
0,0.11735465
0,0.07747869
1,0.08779247
0,0.9652169
1,0.83201385
0,0.106606275
0,0.06642873
1,0.86217886
1,0.96808594
0,0.06733457
1,0.8949397
0,0.3282784
1,0.9414262
1,0.97732764
0,0.081364796
1,0.056463763
0,0.86989504
0,0.02079506
1,0.05940123
0,0.077293836
0,0.14743541
0,0.5736967
0,0.09633143
1,0.97164375
1,0.76657397
1,0.7350076
1,0.66054255
0,0.41797477
0,0.9098545
1,0.95457083
1,0.15213436
0,0.23614115
0,0.036039077
0,0.7261676
0,0.40794238
1,0.9675344
0,0.17582747
0,0.06479865
1,0.07331338
0,0.36396304
1,0.2906442
0,0.07696148
0,0.23744863
0,0.94027203
0,0.12864356
0,0.07867522
1,0.43754292
0,0.11174319
0,0.97043544
1,0.07221885
0,0.02084017
0,0.20326023
1,0.74867654
0,0.6756617
0,0.0706934
1,0.070119224
0,0.43491718
0,0.2894032
